Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1942     ,         ,         ,         ,         ,         ,         ,         ,         ,     31.9,     39.4,     36.0,     40.0,         ,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1950     ,         ,         ,         ,         ,         ,         ,         ,     21.2,     29.4,     29.3,     33.3,     38.9,         ,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1951     ,     31.1,     33.2,     35.9,     29.2,     27.3,     21.8,     22.1,     21.9,     30.1,     32.3,     37.8,     42.7,     42.7,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1952     ,     42.3,     40.6,     32.2,     32.2,     25.1,     23.9,     20.0,     23.3,     32.7,     31.6,     36.7,     34.6,     42.3,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1953     ,     32.3,     33.6,     33.0,     31.1,     26.2,     21.4,     23.1,     23.5,     31.4,     29.6,     39.1,     41.6,     41.6,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1954     ,     30.7,     34.2,     33.3,     30.4,     23.5,     22.7,     21.6,     29.6,     24.9,     31.4,     34.9,     37.4,     37.4,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1955     ,     40.0,     34.2,     32.1,     31.1,     24.4,     21.9,     19.2,     26.8,     30.6,     29.4,     34.3,     31.8,     40.0,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1956     ,     35.0,     28.7,     32.6,     30.6,     23.2,     23.3,     22.7,     23.1,     24.1,     28.3,     37.5,     39.9,     39.9,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     38.0,     32.3,     33.3,     32.5,     29.6,     24.3,     18.6,     21.3,     26.0,     34.8,     40.3,     42.8,     42.8,QC,#
dx, 61078,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     37.8,     37.9,     34.0,     31.3,     28.2,     26.6,     25.4,     26.0,     23.9,     37.4,     36.6,     34.4,     37.9,QC,#
