Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1952     ,     23.3,     23.4,     22.9,     23.3,     21.7,     23.1,     22.8,     22.6,     22.4,     23.3,     21.3,     22.4,     21.3,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1953     ,     22.8,     22.7,     21.7,         ,     22.9,     22.1,     22.2,     21.9,     22.2,     22.4,     23.2,     22.4,         ,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1954     ,     22.3,     21.7,     22.3,     23.4,     21.2,     21.1,     23.1,     21.1,     20.6,     21.4,     21.2,     21.0,     20.6,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1955     ,     22.2,     23.1,     21.1,     22.8,     22.2,     21.9,     22.8,     21.7,     21.7,     21.7,     22.2,     21.9,     21.1,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1956     ,     22.2,     21.7,     21.7,     22.2,     22.8,     22.5,     22.2,     22.8,     22.2,     23.4,     22.5,     23.0,     21.7,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1957     ,     22.2,     22.3,     22.8,     23.1,     23.2,     23.1,     23.1,     23.3,     22.4,     22.6,     23.1,     23.3,     22.2,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1958     ,     22.6,     22.8,     22.6,     23.1,     23.3,     23.0,     23.0,     22.8,     23.2,     23.3,     23.2,     23.1,     22.6,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1959     ,     21.1,     22.2,     22.9,     22.8,     23.9,     23.6,     22.4,     23.3,     24.1,     23.8,     24.1,     22.8,     21.1,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1960     ,     22.8,     23.6,     22.2,     21.7,     23.3,     23.9,     22.2,     23.6,     23.3,     22.4,     22.8,     22.9,     21.7,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1961     ,     23.3,     22.8,     21.7,     22.3,     22.8,     23.2,     22.8,     22.8,     21.8,     23.0,     22.8,     22.4,     21.7,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1962     ,     22.9,     23.3,     22.8,     22.2,     23.7,     23.0,     23.3,     22.7,     23.5,     24.8,     22.9,     23.1,     22.2,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1963     ,     23.1,     23.8,     23.8,     23.8,     23.8,     23.9,     23.7,     22.8,     22.2,     22.8,     22.2,     22.2,     22.2,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1964     ,     22.8,     22.4,     23.3,     23.1,     23.3,     23.3,     23.3,     22.6,     24.0,     23.6,     24.1,     21.9,     21.9,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,     22.2,     22.2,     23.2,     22.2,     22.8,     22.8,     22.8,     22.9,     21.9,     21.9,     22.8,     22.9,     21.9,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,     22.1,     23.2,     22.2,     23.3,     23.3,     23.3,     22.8,     22.7,     22.8,         ,     23.9,     22.8,         ,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,     23.3,     23.4,     23.3,     22.2,     24.4,     23.9,     23.7,     23.3,     23.8,     24.2,     24.9,     22.9,     22.2,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,     22.8,     22.3,     24.4,     23.3,     22.5,     23.1,     22.2,     24.0,     24.7,     25.0,     24.4,     23.5,     22.2,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,         ,     23.2,     21.7,     22.2,     23.9,     22.2,     22.2,     24.4,         ,     24.4,     23.3,     23.4,         ,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,     23.8,     23.3,     23.8,     23.3,     24.4,     24.4,     23.5,     23.1,     24.2,     23.9,     22.8,     23.1,     22.8,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,     23.3,     23.6,     21.7,     22.2,     22.8,     22.8,     23.6,     21.7,         ,     21.9,     24.0,     23.3,         ,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,     22.1,     23.1,     23.6,     21.7,     21.7,     23.0,     22.2,     22.9,     22.0,     23.3,     23.1,     23.0,     21.7,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,     23.1,     23.1,     23.1,     22.5,     23.5,     22.5,     21.6,     23.5,     23.6,     23.1,     22.0,     23.3,     21.6,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1974     ,     22.6,     23.7,     22.5,     22.9,     23.5,     23.5,     23.1,     22.6,     24.5,     23.8,     23.0,     23.0,     22.5,QC,#
dx,200245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1975     ,     22.0,     23.1,     21.5,     23.9,     23.6,     23.1,     20.3,     22.8,     23.4,     22.8,     21.9,     23.5,     20.3,QC,#
