Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1873     ,         ,         ,         ,     26.7,     24.4,     21.7,     18.9,     22.8,     29.4,     32.8,     27.2,     36.7,         ,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1874     ,     38.3,     35.6,     32.2,     27.2,     23.3,     16.7,     15.0,     21.1,     20.6,     31.1,     31.7,     36.7,     38.3,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1875     ,     37.2,     32.8,     31.1,     27.8,     20.6,     18.3,     17.2,     24.4,     25.0,     26.1,     32.2,     30.6,     37.2,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1876     ,     32.2,     37.8,     35.0,     27.2,     25.0,     22.2,     16.1,     17.8,     23.3,     28.3,     32.2,     42.8,     42.8,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1877     ,     43.3,     38.3,     30.0,     27.2,     22.2,     17.8,         ,     16.7,     23.9,     30.6,     32.8,     34.4,         ,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1878     ,     41.1,     37.8,     34.4,     30.0,     24.4,     20.0,     18.9,     26.1,     25.6,     30.0,     36.1,     37.2,     41.1,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1879     ,     41.1,     41.7,     31.7,     26.1,     19.4,     18.3,     15.0,     16.7,     19.4,     27.8,     28.3,     31.7,     41.7,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1880     ,     41.1,     33.3,     32.2,     33.9,     28.3,     23.3,     25.0,     29.4,     30.0,     28.9,     38.3,     45.0,     45.0,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1881     ,     46.7,     42.2,     42.2,     28.9,     27.2,     18.3,     17.8,     20.6,     22.2,     28.3,     35.0,     44.4,     46.7,QC,#
dx, 65016,Highest monthly temperature in degrees C                                                                                                                                                                ,1882     ,     47.8,     37.2,     38.9,     31.7,     20.0,     17.2,     20.0,     22.2,     32.2,     35.6,     35.6,     37.2,     47.8,QC,#
