Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     28.8,     28.1,     28.3,     15.6,     14.2,     12.5,     11.3,     12.1,     19.6,     20.6,     22.3,     25.8,     28.8,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     28.0,     24.4,     26.8,     17.2,     15.0,     13.0,      9.4,      9.8,     13.3,     17.2,     26.1,     23.3,     28.0,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     28.3,     26.7,     24.4,     21.1,     17.7,     14.3,      8.9,      9.3,     14.4,     20.2,     24.3,     25.0,     28.3,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     31.7,     31.9,     25.7,     21.7,     11.7,      9.4,      7.6,      9.2,     10.7,         ,     19.4,     24.7,         ,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     27.6,     26.2,     21.3,     18.9,     10.6,     12.3,     10.0,     13.7,     11.7,     18.3,     20.0,     25.0,     27.6,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     23.9,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     25.8,         ,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     26.9,         ,         ,     24.4,     16.9,         ,      8.9,      8.9,     11.1,     16.1,     19.4,     24.4,         ,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     23.3,     23.9,     21.7,     17.8,     18.9,     12.2,      7.2,     12.8,     14.8,     18.5,     21.5,     29.5,     29.5,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     29.0,     23.5,     20.5,     18.0,     13.7,     11.8,     14.0,     12.5,         ,     17.0,     21.5,     24.0,         ,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     24.5,     23.0,     25.0,     14.5,     15.0,     14.0,      8.8,      9.7,     12.0,     16.0,     25.0,     26.0,     26.0,QC,#
dx, 83073,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     27.0,     28.0,     23.0,     16.5,     14.0,     13.0,     12.0,     10.0,     15.0,     17.0,     25.0,     27.0,     28.0,QC,#
