Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,         ,         ,         ,     35.1,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     37.7,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     33.5,     30.2,     42.4,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     44.7,     43.5,     40.2,         ,     31.1,     23.1,     24.6,         ,     28.2,     35.8,     38.4,     38.5,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     38.7,     41.3,         ,     33.7,     25.8,     22.6,     23.4,     23.8,         ,         ,     37.2,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,         ,         ,     38.9,         ,     28.6,         ,     21.6,     24.8,     23.1,     29.4,     34.1,     38.0,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     41.7,     41.6,         ,         ,     35.6,     26.1,     20.6,     22.2,         ,     35.8,     39.4,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     42.1,         ,         ,         ,     26.5,         ,     21.9,     22.4,         ,     32.1,     38.0,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     44.4,         ,         ,         ,     25.8,         ,     19.5,     23.5,     29.0,     27.7,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,         ,     44.8,         ,     35.0,     26.0,         ,     23.3,     23.2,         ,     27.9,         ,         ,         ,QC,#
dx,  9067,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,         ,         ,         ,         ,     29.1,         ,     25.8,     26.7,         ,         ,     35.0,         ,         ,QC,#
