Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2000     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     41.0,     44.0,     45.0,         ,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2001     ,     44.0,         ,     40.0,         ,     36.0,     31.0,     31.0,     35.0,     38.0,     39.0,     45.0,     44.0,         ,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2002     ,     48.0,     42.0,     42.0,     40.0,     37.0,     33.0,     33.0,     34.0,         ,         ,         ,     46.0,         ,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2003     ,     47.0,     43.0,     42.0,     40.1,     35.4,     31.4,     33.3,     34.6,     41.7,     40.8,     45.2,     45.6,     47.0,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2004     ,     45.7,     43.7,     41.4,     38.0,     34.2,     32.9,     32.4,     33.6,     39.0,     44.3,     44.6,     46.6,     46.6,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2005     ,     46.9,     47.0,     44.4,     42.3,     37.2,     31.2,     29.5,     31.9,     37.5,     43.0,     45.9,     45.8,     47.0,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2006     ,     44.5,     42.6,     40.1,     36.7,     32.0,     29.6,     32.2,     35.6,     41.3,     41.2,     44.8,     45.9,     45.9,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2007     ,     47.4,     48.1,     44.4,     37.7,     36.5,         ,     32.4,     36.2,     39.8,     41.9,     46.0,     44.6,         ,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2008     ,     48.6,     42.2,     43.3,     41.1,     37.4,     30.6,         ,     34.1,     40.8,     43.0,     43.4,     45.7,         ,QC,#
dx,  4106,Highest monthly temperature in degrees C                                                                                                                                                                ,2009     ,     45.6,     44.1,     41.5,     40.4,     34.9,     31.1,     32.9,     35.3,     37.8,     45.4,     44.1,     46.9,     46.9,QC,#
