Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1950     ,         ,         ,         ,         ,         ,         ,         ,     25.8,     27.8,     31.2,     36.0,     39.6,         ,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1951     ,     40.8,     42.7,     38.0,     31.2,     27.2,     19.7,     19.9,     22.7,     30.3,     38.8,     38.8,     40.6,     42.7,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1952     ,     42.5,     42.6,     39.4,     35.0,     26.7,     23.3,     20.8,     23.6,     28.3,     30.8,     36.8,     41.7,     42.6,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1953     ,     45.3,     43.9,     39.1,     33.7,     27.4,     22.2,     19.2,     22.9,     29.2,     31.8,     35.6,     42.3,     45.3,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1954     ,     41.3,     42.1,     43.2,     33.4,     27.1,     20.6,     21.8,     25.6,     30.5,     34.9,     37.6,     45.2,     45.2,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1955     ,     40.6,     43.2,     37.8,     33.3,     26.1,     20.6,     19.8,     17.8,     24.0,     32.8,     35.1,     39.9,     43.2,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1956     ,     44.4,     44.3,     38.9,     31.1,     27.2,     19.4,     20.0,     20.2,     30.7,     28.9,     36.7,     37.6,     44.4,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     42.1,     38.9,     39.9,     36.7,     30.2,     21.8,     19.7,         ,     27.4,     34.1,     39.0,     42.7,         ,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     43.3,     39.4,     38.0,     37.1,     30.1,     21.1,     17.3,     23.9,     21.9,     33.3,     38.9,     39.7,     43.3,QC,#
dx, 10035,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     42.8,     40.8,     41.7,     37.7,     33.0,     22.8,     23.3,     23.9,     26.4,     29.7,     40.6,     37.3,     42.8,QC,#
