Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     30.0,     33.9,     31.1,     23.3,     18.9,     15.0,     13.3,     17.2,     25.6,     25.0,     27.2,     35.0,     35.0,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     33.9,     29.4,     30.0,     23.3,     16.7,     15.0,     12.8,     12.8,     17.2,     21.7,     27.8,     30.0,     33.9,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     31.7,         ,     23.6,     23.9,     23.1,     12.8,     12.2,     13.3,     22.8,     26.1,     28.9,     29.4,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     33.3,     33.9,     30.0,     25.0,         ,         ,     11.7,     13.9,     17.8,     25.6,     29.4,     27.8,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     31.1,     31.1,     26.7,     23.3,     18.9,     13.1,     15.3,     18.9,     17.2,     22.2,     24.4,     28.9,     31.1,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     28.9,     30.6,     26.1,     22.8,     17.2,     14.4,     13.3,     16.4,     17.2,     24.7,     25.8,     29.7,     30.6,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     31.7,     25.8,     25.6,     23.3,     17.2,     13.9,     13.6,     15.2,     18.6,     23.1,     23.6,     28.9,     31.7,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     28.7,     26.7,     26.1,     23.4,     20.7,     16.1,     14.3,     19.4,     21.3,     22.2,     24.5,     32.0,     32.0,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     35.9,     30.9,     28.7,     23.5,     18.6,     14.2,     15.1,     18.6,     22.6,     24.6,     28.1,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     28.5,         ,     29.4,         ,         ,     14.4,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,         ,         ,     25.2,         ,         ,         ,     16.8,     16.8,     20.5,     23.2,     31.0,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,         ,     27.2,     26.0,     25.0,     19.7,         ,     14.2,     17.8,     19.3,         ,     26.9,     31.4,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,         ,         ,     26.1,         ,     17.7,     12.5,         ,     20.2,     22.0,     26.6,     29.0,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     31.3,         ,         ,         ,         ,         ,     13.0,         ,         ,     22.3,     28.7,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     34.5,         ,     28.0,         ,     18.3,         ,     13.5,     16.5,         ,     24.9,         ,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     32.0,         ,     30.7,         ,         ,     14.0,     13.9,     17.2,     25.0,         ,     32.3,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,         ,         ,     28.1,         ,         ,     11.0,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,         ,         ,     29.3,         ,     19.0,     12.9,     12.4,     19.7,         ,         ,     33.6,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,         ,         ,     32.6,         ,     18.0,     14.2,     12.8,     15.0,         ,     26.0,     26.0,         ,         ,QC,#
dx, 63063,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     28.5,     27.5,     27.0,         ,     22.0,         ,         ,     15.0,     18.5,     25.0,     26.5,         ,         ,QC,#
