Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1939     ,         ,         ,         ,         ,         ,         ,     29.4,     34.1,     35.6,     37.9,     41.9,     42.8,         ,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1940     ,     43.8,     37.8,     35.4,     33.9,     30.8,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1942     ,     45.1,     41.9,     42.0,     39.2,     35.7,     31.4,     32.8,     35.1,     38.5,     39.9,     41.3,     40.9,     45.1,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1943     ,     42.4,     40.4,     42.3,     37.3,     31.9,     27.6,     35.7,     33.7,     40.5,     41.6,     42.7,     44.6,     44.6,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1944     ,     45.9,     38.3,     38.1,     35.6,     33.9,     27.2,     28.3,     34.4,     36.7,     37.4,     42.3,     42.1,     45.9,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1945     ,     40.6,     41.9,     39.5,     36.4,     34.0,     30.9,     29.6,     35.8,     37.4,     38.6,     41.6,     43.7,     43.7,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1946     ,     42.7,     39.5,     39.8,     35.8,         ,     30.8,     32.5,     32.9,     38.4,     38.2,     42.3,     42.9,         ,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1947     ,     44.9,     39.3,     40.1,     33.3,     31.4,     31.1,     32.5,     33.1,     36.1,     37.8,     40.6,     40.8,     44.9,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1948     ,     42.9,     43.4,     38.3,     38.3,     32.1,     31.1,     30.3,     31.5,     38.2,     42.0,     41.8,     43.4,     43.4,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1949     ,     41.0,     40.6,     39.4,     33.2,     31.0,     29.3,     28.6,     31.9,     35.3,     39.6,     39.6,     41.8,     41.8,QC,#
dx, 29009,Highest monthly temperature in degrees C                                                                                                                                                                ,1950     ,     42.0,     37.7,     36.9,     30.9,     32.2,     30.7,     29.2,     29.8,     35.9,     39.1,     40.4,     40.1,     42.0,QC,#
