Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1914     ,     45.6,     43.3,     37.2,     36.7,     27.2,     23.9,     22.2,     26.7,     30.0,     38.9,     40.0,     44.4,     45.6,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1915     ,     42.2,     46.1,     38.9,     33.9,     29.4,     23.9,     21.7,     26.7,     28.9,     38.3,     40.0,     40.6,     46.1,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1916     ,     42.8,     42.8,     37.8,     35.0,     29.4,     22.8,     20.6,     26.7,     31.7,     24.4,     35.0,     41.7,     42.8,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1917     ,     43.9,     37.8,     35.0,     28.9,     26.7,     25.6,     22.2,     23.9,     29.4,         ,     36.7,     43.3,         ,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1918     ,     42.8,     46.1,     40.0,     37.2,     30.0,     23.3,     27.8,     22.2,     32.2,     37.2,     42.8,     48.9,     48.9,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1919     ,         ,         ,         ,         ,     30.0,     25.0,     26.7,     27.8,     37.2,     42.8,     42.8,     46.1,         ,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1920     ,     44.4,     45.6,     42.8,     35.6,     28.9,     21.7,     21.7,     25.6,     29.4,     38.9,     41.7,     44.4,     45.6,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1921     ,     46.1,     43.9,     37.8,     31.1,     31.1,     21.1,     23.9,     23.3,     30.6,     41.1,     42.8,     39.4,     46.1,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1922     ,     42.2,     45.0,     40.0,     37.2,     33.3,     23.9,     22.2,     24.4,     29.4,     41.7,     45.0,     38.9,     45.0,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1923     ,     44.4,     47.2,     38.3,     40.0,     31.1,     28.9,     21.7,     27.2,     32.8,     38.3,     42.2,     43.9,     47.2,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1924     ,     45.6,     41.1,         ,     33.9,     27.8,     23.9,     23.3,     27.8,     29.4,     39.4,     40.6,     41.7,         ,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1925     ,     40.6,     42.8,     37.8,     33.9,     26.7,     21.7,     21.1,     23.3,     28.3,     38.9,     40.6,     43.1,     43.1,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1926     ,     42.2,     44.4,     41.7,     33.9,     23.9,     21.1,     28.9,     28.3,     30.6,     36.1,     40.0,     41.7,     44.4,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1927     ,     46.7,     42.2,     42.8,     32.2,     26.7,     21.7,     22.8,     26.7,     30.0,     39.4,     40.6,     39.4,     46.7,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1928     ,     40.0,     41.1,     38.9,     32.8,     30.0,     21.7,     23.3,     31.7,     36.1,     34.4,     39.4,     41.1,     41.1,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1929     ,     43.9,     41.1,     42.2,     33.3,     28.3,     23.9,     20.0,     28.3,     30.0,     37.2,     37.2,     41.7,     43.9,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1930     ,     40.6,     42.2,     38.9,     31.7,     26.1,     21.7,     22.2,     23.9,     31.1,     37.8,     38.3,     41.7,     42.2,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1931     ,     40.0,     41.7,     38.3,     31.1,     27.9,     18.3,     20.9,     24.0,     32.8,     35.1,     38.4,     44.4,     44.4,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1932     ,     47.5,     40.6,     41.1,     30.6,     28.3,     22.8,     21.1,     29.7,     29.4,     33.9,     38.3,     40.0,     47.5,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1933     ,     43.9,     45.8,     40.0,     36.7,     26.7,     22.8,     22.2,     22.2,     28.9,     37.8,     38.3,     37.2,     45.8,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1934     ,     41.9,     41.4,     41.1,     33.9,     26.7,     21.7,     23.9,     27.8,     32.2,     33.9,     36.1,     44.4,     44.4,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1935     ,     42.8,     41.1,     38.9,     32.2,     25.6,     23.3,     22.2,     27.8,     28.3,     35.6,     38.9,     40.0,     42.8,QC,#
dx, 47019,Highest monthly temperature in degrees C                                                                                                                                                                ,1936     ,     43.9,     38.9,     35.0,     36.7,     27.2,     17.2,     21.1,     26.1,     30.6,     36.7,     42.8,     42.2,     43.9,QC,#
