Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     28.3,     28.9,     25.0,     19.4,     14.4,     13.9,      7.8,     12.8,     15.6,     23.3,     23.3,     28.3,     28.9,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     26.7,     26.7,     22.2,     20.0,     14.4,     11.7,      8.9,     10.0,     13.9,     22.2,     24.4,     23.9,     26.7,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     30.6,     27.8,     21.7,     20.0,     16.1,      9.4,     10.0,     12.8,     15.0,     18.3,     27.8,     27.2,     30.6,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     28.9,     26.1,     23.9,     17.2,     10.6,      7.8,      7.8,     10.6,     14.4,     22.2,     21.7,     25.6,     28.9,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     26.4,     27.8,     22.8,     20.0,     15.6,      9.4,      6.7,     10.6,     23.3,     23.3,     24.2,     25.6,     27.8,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     26.7,     23.3,     23.3,     19.4,     12.2,     10.6,      9.4,     10.6,     15.6,     17.2,     24.4,     26.9,     26.9,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     25.0,     26.9,     25.8,     17.8,     17.8,     10.6,      7.2,     11.1,     16.1,     20.6,     21.1,     26.7,     26.9,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     26.7,     27.5,     24.7,     20.6,     12.8,     10.6,      6.1,      9.7,     15.6,     18.3,     26.7,     23.3,     27.5,QC,#
dx, 71010,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     28.3,     28.3,     27.2,     17.2,     16.1,     13.3,      8.9,     16.7,     21.7,     21.1,     22.3,     27.2,     28.3,QC,#
