Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1893     ,     38.9,     32.2,     31.7,     31.1,     25.6,     21.1,     25.0,     23.3,     27.8,     34.4,     36.1,     40.0,     40.0,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1894     ,     36.1,     37.8,     31.1,     29.4,     25.0,         ,     26.1,     26.1,     27.8,     30.6,     35.0,     35.0,         ,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1895     ,     35.6,     34.4,     37.2,     32.8,     26.7,     26.1,     22.2,     27.8,     30.6,     36.1,     36.7,     36.1,     37.2,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1896     ,     38.9,     32.2,     32.2,     32.9,     28.4,     23.6,         ,     26.1,         ,         ,     34.4,     36.9,         ,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1897     ,     41.1,     38.9,     35.7,     35.6,     30.1,     26.0,     24.5,     26.1,     29.4,     36.7,     36.7,     33.3,     41.1,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1898     ,     36.7,     35.0,     35.6,     32.8,     25.6,     22.5,     27.2,     28.8,     31.7,     38.3,     40.0,     41.7,     41.7,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1899     ,     41.9,     34.4,     34.4,     30.7,     29.1,     22.5,     22.3,     24.0,     28.3,     37.9,     37.3,     42.2,     42.2,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1900     ,     35.6,     39.7,     36.1,     30.6,     29.4,     23.6,     22.2,     32.2,     27.2,     36.7,     37.8,     40.3,     40.3,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1901     ,     39.5,     40.0,     35.6,     29.9,     26.7,     23.4,     21.7,     27.2,     30.1,     30.8,     36.9,     45.4,     45.4,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1902     ,     43.4,     40.0,     37.8,     33.1,     27.2,     25.6,     25.3,     25.6,     32.8,     34.4,     39.2,     42.8,     43.4,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1903     ,     42.6,     41.1,     37.2,     34.7,     25.6,     22.2,     24.6,     24.7,     28.2,     30.1,     32.2,     35.0,     42.6,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1904     ,     39.4,     41.1,     35.3,     30.7,     26.7,     22.7,     23.8,     25.5,     32.2,     35.2,     41.1,     39.9,     41.1,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1905     ,     44.9,     40.6,     36.1,     29.2,     25.5,     23.3,     22.8,     25.0,     29.4,     32.9,     40.1,     41.4,     44.9,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1906     ,     37.2,         ,     30.5,     30.2,     28.1,     25.6,         ,         ,     26.7,         ,         ,         ,         ,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1907     ,     37.8,     35.6,     38.3,     30.6,     27.2,         ,     23.9,     28.3,     31.7,     38.9,     36.1,     35.6,         ,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1908     ,     36.7,     36.7,     33.3,     32.2,     28.9,     26.1,     25.0,     25.8,     30.8,     31.1,     36.1,     39.6,     39.6,QC,#
dx, 41023,Highest monthly temperature in degrees C                                                                                                                                                                ,1909     ,     44.4,     36.8,     36.7,     34.0,     26.7,     29.4,     26.7,     22.2,     27.2,     36.7,     37.8,     37.8,     44.4,QC,#
