Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,     12.8,     10.0,      8.9,      8.9,      4.4,      7.2,      5.8,      5.8,         ,         ,         ,      6.1,         ,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,     13.3,     10.0,     10.0,      8.8,     10.6,      5.6,      5.2,      7.3,      3.1,      8.9,     10.0,     12.2,      3.1,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,     11.7,      4.0,     13.6,      7.1,      7.2,      7.7,      7.2,      6.7,      6.1,      5.6,      8.1,      8.9,      4.0,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,     13.1,     13.8,      9.4,      7.1,      5.6,      9.4,      6.7,      5.6,      3.3,      5.0,      6.1,     11.3,      3.3,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,     11.2,     10.6,      9.8,      8.9,      8.9,      6.7,      5.0,      3.9,      4.0,      6.0,     10.0,     13.8,      3.9,QC,#
dx,  9787,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,     13.7,     10.6,     11.0,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1926     ,     22.0,     22.1,     20.0,     18.7,     17.5,     16.2,     14.2,     14.3,     16.1,     16.8,     18.8,     20.3,     18.1,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1927     ,     21.0,     20.7,     18.8,     21.3,     17.5,     14.9,     14.2,     15.2,     16.4,     17.6,     20.4,     21.4,     18.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1928     ,     20.6,     21.4,     20.9,     19.6,     17.7,     16.4,     15.0,     15.8,     15.3,     16.0,     18.6,     20.6,     18.2,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1929     ,     21.4,     21.3,     20.5,     18.8,     16.6,     14.8,     14.6,     14.3,     15.9,     17.0,     18.6,     19.7,     17.8,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1930     ,     21.9,     21.7,     21.1,     20.5,     18.6,     16.9,     15.3,     15.4,     16.0,     18.1,     18.4,     20.3,     18.7,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1931     ,     22.2,     21.2,     21.2,     19.6,     15.6,     14.4,     14.0,     15.0,     14.7,     17.8,     18.6,     20.8,     17.9,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1932     ,     22.7,     21.8,     20.6,     20.1,     18.3,     15.8,     14.8,     14.2,     16.8,     17.0,     19.1,     20.2,     18.5,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1933     ,     21.2,     23.1,     20.9,     19.4,     17.8,     16.1,     14.7,     14.9,     16.8,     17.6,     18.9,     20.7,     18.5,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1934     ,     21.9,     23.4,     21.7,     20.3,     19.8,     16.4,     15.3,     16.3,     16.3,     16.7,     17.7,     19.9,     18.8,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1935     ,     20.8,     21.4,     20.5,     20.0,     17.9,     15.4,     14.2,     15.7,     15.4,     16.2,     18.7,     19.9,     18.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1936     ,     20.7,     21.1,     21.3,     20.8,     17.1,     15.9,     15.5,     15.0,     16.8,     17.6,     21.0,     21.3,     18.7,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1937     ,     22.6,     22.6,     21.2,     21.7,     17.7,     16.6,     16.5,     15.2,     16.7,     18.3,     19.0,     21.1,     19.1,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1938     ,     21.2,     21.0,     21.2,     19.2,     17.6,     15.5,     15.3,     15.7,     16.9,     18.0,     19.1,     21.4,     18.5,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1939     ,     21.2,     21.8,     20.9,     19.6,     17.4,     15.8,     14.8,     14.6,     16.5,     17.7,     18.5,     21.2,     18.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1940     ,     21.1,     22.9,     22.3,     19.1,     17.7,     16.5,     15.4,     16.1,     16.4,     17.7,     18.9,     20.6,     18.7,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1941     ,     21.1,     21.8,     20.3,     18.9,     17.9,     16.6,     15.4,     16.3,     14.8,     16.7,     18.9,     21.4,     18.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1942     ,     20.5,     21.2,     19.7,     19.7,     17.7,     15.4,     15.4,     14.9,     15.6,     16.3,     19.5,     20.3,     18.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1943     ,     20.7,     21.6,     20.8,     18.3,     17.8,     16.6,     13.4,     15.3,     15.8,     17.1,     19.1,     20.1,     18.1,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1944     ,     21.8,     21.6,     20.4,     18.5,     16.4,     17.0,     15.3,     16.2,     16.3,     18.3,     19.8,     19.7,     18.4,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1945     ,     21.5,     21.0,     21.3,     20.9,     18.3,     15.8,     15.2,     14.7,     15.6,     17.3,     18.7,     21.6,     18.5,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1946     ,     21.4,     20.7,     20.3,     20.4,     17.8,     15.5,     14.3,     14.8,     17.2,     18.3,     18.4,     20.2,     18.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1947     ,     22.3,     21.2,     20.6,     19.9,     17.4,     16.2,     15.1,     15.6,     15.9,     16.6,     18.1,     20.9,     18.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1948     ,     22.1,     23.3,     22.2,     19.4,     19.0,     16.9,     15.3,     16.2,     16.1,     16.9,     18.3,     19.6,     18.8,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1949     ,     21.1,     21.9,     20.9,     21.4,     18.7,     17.2,     15.7,     16.4,     17.2,     16.6,     18.2,     22.1,     19.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1950     ,     22.7,     22.4,     22.3,     21.6,     18.2,     16.7,     15.4,     15.9,     15.9,     17.1,     18.2,     20.7,     18.9,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1951     ,     21.8,     21.4,     21.2,     19.2,     16.8,     15.5,     14.6,     13.8,     16.7,     17.5,     18.9,     20.4,     18.2,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1952     ,     21.8,     21.6,     21.9,     19.8,     17.4,     16.6,     14.5,     15.7,     15.8,     17.0,     18.9,     19.2,     18.4,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1953     ,     21.3,     21.2,     21.4,     20.4,     18.2,     15.2,     14.7,     14.8,     16.3,     16.9,     18.1,     19.4,     18.2,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1954     ,     21.7,     20.6,     20.4,     18.9,     17.3,         ,     15.5,     15.3,     17.2,     18.3,     18.6,     20.6,         ,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1955     ,     21.4,     21.4,     22.0,     19.1,     17.2,     15.4,     15.3,     14.5,     15.7,     16.0,     18.6,     19.7,     18.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1956     ,     23.3,     22.9,     22.3,     18.9,     16.9,     14.5,     14.8,     14.2,     16.1,     16.7,     20.2,     20.9,     18.5,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1957     ,     23.0,     22.7,     21.1,     19.9,     19.3,     16.4,     14.7,     16.6,     16.5,     18.0,     20.4,     21.3,     19.2,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1958     ,     22.8,     22.2,     21.7,     20.8,     18.0,     17.0,     14.2,     16.3,     14.9,     16.8,     20.2,     20.4,     18.8,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1959     ,     22.2,     21.5,     22.7,     20.8,     18.7,     17.2,     16.5,     17.3,     16.0,     18.2,     18.1,     19.0,     19.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1960     ,     20.3,     21.6,     19.9,     18.1,     17.2,     16.0,     13.6,     14.9,     16.4,     18.0,     18.6,     20.9,     18.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1961     ,     23.0,     24.2,     23.2,     19.1,     19.6,     17.0,     15.0,     15.6,     17.2,     17.6,     19.8,     20.2,     19.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1962     ,     22.4,     22.2,     21.9,     21.6,     19.6,     17.6,     16.3,     17.1,     16.5,     17.3,     20.2,     21.0,     19.5,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1963     ,     22.0,     22.1,     22.2,     21.5,     18.9,     16.4,     14.9,     16.1,     16.6,     19.4,     19.4,     21.5,     19.3,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1964     ,     22.0,     21.8,     21.8,     19.0,     18.1,     17.3,     15.3,     15.3,     15.7,     16.0,     18.8,     19.4,     18.4,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1965     ,     22.0,     22.2,     22.2,     20.7,     17.7,     16.4,     15.7,     15.7,     16.8,     18.1,     18.7,     21.9,     19.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1966     ,     22.2,     23.0,     22.3,     19.3,     18.9,     15.5,     15.4,     15.7,     16.2,     16.9,     20.6,     20.7,     18.9,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1967     ,     22.4,     22.0,     21.3,     21.1,     18.4,     17.4,     15.0,     15.2,     17.1,         ,     20.2,     21.7,         ,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1968     ,     22.6,     22.4,     20.4,     18.6,     16.6,     15.5,     16.1,     15.3,         ,         ,         ,     20.5,         ,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1969     ,     23.4,     22.4,     21.9,     19.7,         ,     16.9,     15.9,     15.5,     14.6,     17.6,     18.8,     19.8,         ,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1970     ,     21.3,     20.8,     21.9,     18.5,     17.8,     15.7,     15.9,     15.1,     15.2,     16.4,     18.3,     19.3,     18.0,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1971     ,     21.3,     21.5,     20.2,     19.1,     17.7,     17.4,     16.0,     14.1,     15.9,     16.1,     16.2,     18.9,     17.9,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1972     ,     21.0,     21.6,     20.4,     20.8,     20.0,     16.7,     15.0,     15.1,     16.0,     17.4,     18.8,     22.3,     18.8,QC,#
dx,  9787,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1973     ,     23.6,     21.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
