Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,         ,     35.8,     32.7,     32.8,     25.0,     21.7,     22.2,     25.2,     28.3,     31.7,     30.6,     38.9,         ,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     36.7,     33.1,     33.9,     29.2,     24.6,     24.4,     25.7,     27.3,     28.9,     35.1,     31.9,     35.0,     36.7,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     35.0,     34.5,     28.9,     26.9,     25.9,     23.6,     20.5,     23.1,     28.9,     35.0,     33.3,     37.7,     37.7,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     34.2,     30.0,     32.2,     27.8,     23.2,     22.2,     23.3,     26.7,     31.6,     32.5,     33.5,     39.3,     39.3,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     37.8,     40.5,     34.0,     31.0,     28.1,     24.6,     23.2,     25.0,     33.5,     34.0,     35.2,     34.6,     40.5,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     32.4,     34.0,     30.3,     29.5,     25.1,     24.3,     26.6,     23.4,     27.2,     31.5,     37.3,     39.1,     39.1,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     39.0,     38.5,     34.0,     30.1,     26.0,     25.5,     25.3,     25.3,     31.0,     30.0,     35.2,     38.4,     39.0,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     34.0,     30.5,     32.5,     28.5,     25.0,     24.8,     21.8,     24.2,     25.1,     28.3,     33.7,     38.0,     38.0,QC,#
dx, 60085,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     39.5,     36.0,     33.2,     30.0,     24.0,     24.0,     21.0,     29.3,     31.0,     34.5,     38.2,     39.0,     39.5,QC,#
