Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,         ,         ,         ,         ,         ,         ,         ,         ,     21.9,     28.5,     34.0,     37.5,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     38.6,     40.1,     38.1,     34.7,     30.6,     25.6,     19.9,     22.1,     28.1,     35.5,     38.6,     38.6,     40.1,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     40.1,     36.4,     38.9,     31.2,     26.0,     19.7,     21.7,     21.6,     27.5,     31.7,     35.6,     39.6,     40.1,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     41.1,     36.6,     33.0,     27.6,     25.9,     21.6,     19.6,     24.1,     27.8,     26.3,     31.6,     40.8,     41.1,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     39.9,     39.7,     34.8,     31.6,     26.2,     27.1,     22.7,     24.0,     27.3,     28.1,     33.9,     39.6,     39.9,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     39.8,     39.6,     37.4,     33.5,     27.7,     24.4,     25.9,     26.4,     27.6,     33.6,     32.6,     40.2,     40.2,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     39.9,     42.6,     37.4,     34.8,     27.6,     25.4,     24.5,     23.1,     28.0,     33.4,     38.9,     41.4,     42.6,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     43.0,     39.4,     38.5,     35.3,     27.7,     21.3,     20.6,     25.8,         ,     33.3,     40.7,         ,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     42.0,         ,         ,     30.4,     26.8,         ,     23.0,     22.2,     27.5,     37.0,     34.0,         ,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     43.6,         ,     39.3,         ,     31.8,     21.5,     22.0,         ,         ,         ,     33.0,     38.5,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,         ,         ,     36.5,         ,         ,     20.0,     21.2,     20.7,     28.3,         ,     33.8,         ,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,         ,         ,     35.0,         ,     25.6,     23.5,     22.5,     23.8,     31.0,         ,     39.4,     40.6,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,         ,         ,     37.8,         ,     30.0,     24.5,     24.0,     24.8,     28.0,         ,     33.4,         ,         ,QC,#
dx,  9161,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,         ,     42.4,         ,         ,     22.8,         ,     22.0,         ,         ,     33.5,     37.4,         ,         ,QC,#
