Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     33.9,     32.2,     26.1,     21.7,     21.1,     20.6,     15.6,     17.8,     21.1,     25.0,     23.9,     32.8,     33.9,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     29.4,     33.9,     28.3,     27.8,     23.3,     19.4,     15.6,     18.3,     17.8,     22.8,     31.7,     25.0,     33.9,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     37.8,     35.0,     26.7,     24.4,     20.0,     16.7,     17.2,     18.3,     21.1,     20.0,     35.6,     29.4,     37.8,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     36.7,     27.8,     28.9,     22.8,     19.4,     17.8,     16.1,     17.2,     18.3,     25.6,     21.7,     37.8,     37.8,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     32.8,     32.2,     27.2,     24.4,     19.4,     17.2,     16.1,     16.7,     20.6,     30.6,     28.3,     30.0,     32.8,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     30.0,     32.2,     30.0,     26.5,     19.8,     18.5,     17.2,     17.6,     21.6,     22.8,     27.7,     35.3,     35.3,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     31.5,     28.5,     28.9,     23.2,     21.1,     16.7,     14.5,     17.4,     22.7,     28.2,     23.3,     32.1,     32.1,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     33.7,     26.2,     26.7,     26.0,     20.5,     16.7,     16.2,     17.0,     19.6,     23.2,     28.9,     27.2,     33.7,QC,#
dx, 92033,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     33.3,     29.6,     33.3,     21.6,     21.1,     18.9,     16.1,     19.1,     21.1,     27.3,     27.4,     33.7,     33.7,QC,#
