Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,         ,         ,         ,         ,         ,         ,         ,     18.7,     23.1,     28.3,     28.8,     34.6,         ,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     31.7,     37.1,     32.8,     29.8,     26.6,     19.1,     17.1,     22.3,     25.8,     27.9,     31.8,     39.3,     39.3,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     40.5,     36.2,     30.5,     28.7,     21.7,     17.5,     17.6,     19.5,     24.9,     26.9,     28.9,     36.8,     40.5,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     35.7,     32.3,     36.8,     22.6,     22.7,     19.5,     16.8,     17.8,     21.0,     26.4,     32.4,     33.2,     36.8,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     36.3,     39.7,     32.4,     25.5,     25.0,     17.2,     22.5,     18.6,     24.6,     28.5,     33.0,     38.5,     39.7,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     40.5,     38.0,     33.0,     28.7,     23.5,     19.2,     18.6,     22.2,     24.4,     23.7,     31.5,     38.3,     40.5,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     34.5,     41.5,     34.4,     30.1,     22.4,     16.8,     15.8,     22.4,     23.2,     34.8,     36.2,     33.4,     41.5,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     37.6,     34.5,     38.2,     28.0,     26.3,     17.0,     17.0,     19.1,     21.2,     30.0,     35.5,     29.9,     38.2,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     36.2,     41.4,     33.2,     26.6,     23.3,     18.7,     15.6,     20.0,     24.2,     28.7,     30.3,     39.6,     41.4,QC,#
dx, 86077,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     33.6,     40.6,     35.4,     32.2,     24.5,     18.0,     17.7,     23.5,     27.6,     29.3,     37.4,     41.5,     41.5,QC,#
