Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     38.4,         ,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     38.8,     33.1,     33.8,     27.4,     20.7,     16.2,     17.2,     16.2,     21.5,     24.6,     33.0,     32.7,     38.8,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     36.7,     35.0,     29.1,     27.9,     24.6,     18.3,     14.9,     16.7,     24.7,     32.6,     34.3,     34.9,     36.7,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     40.9,     41.1,     34.4,     29.3,     19.2,     14.3,     15.6,     18.6,     22.1,     28.8,     31.7,     33.2,     41.1,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     35.4,     37.2,     31.4,     27.9,     21.1,     15.9,     15.6,     22.3,     21.8,     26.5,     28.3,     33.4,     37.2,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     33.2,     36.3,     29.4,     25.7,         ,     16.3,     16.2,     17.7,     21.2,     27.7,     31.3,     34.9,         ,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     38.4,     29.8,     30.5,     28.7,     19.5,     16.5,     14.4,     17.3,     22.4,     27.6,     27.2,     33.2,     38.4,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     32.9,     29.6,     30.1,     25.3,     23.9,     17.7,     16.1,     21.7,     25.0,     27.3,     30.7,     39.3,     39.3,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     40.2,     36.0,     33.5,     26.9,     21.9,     19.2,     17.5,     19.1,     27.4,     26.6,     31.6,     33.5,     40.2,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     31.9,     32.3,     31.9,     23.4,     22.4,     18.4,     15.0,     15.7,     20.7,     25.4,     32.1,     34.6,     34.6,QC,#
dx, 70091,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     37.0,     35.0,     29.0,     25.0,         ,         ,     22.0,     20.0,         ,         ,     34.5,     35.5,         ,QC,#
