Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,1999     ,     43.0,     41.0,     39.0,     28.0,     29.0,     25.0,     23.0,     28.0,     34.0,     38.0,     36.0,     39.0,     43.0,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2000     ,     43.0,         ,         ,         ,         ,         ,     26.0,         ,         ,     37.0,     37.0,     41.0,         ,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2001     ,     47.0,     44.0,     40.0,     33.0,     30.0,     27.0,     24.0,     29.0,     32.0,     35.0,     37.0,     43.0,     47.0,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2002     ,     43.0,     41.0,     43.0,     35.0,     28.0,     28.0,     25.0,     32.6,     35.7,     38.7,     42.2,     43.2,     43.2,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2003     ,     47.2,     41.3,     36.7,     33.2,     26.1,         ,     26.5,     27.5,     38.9,     37.3,     43.3,     42.4,         ,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2004     ,     45.7,     46.1,     42.6,     35.0,     24.7,     23.5,     24.1,     29.7,     38.8,     38.2,     43.2,     40.7,     46.1,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2005     ,     44.0,     43.6,     42.0,     36.3,     28.2,     26.2,         ,     27.5,     34.5,     37.5,     40.6,     46.3,         ,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2006     ,     43.1,         ,     40.1,     33.7,     26.6,     23.0,     24.3,     28.4,     34.9,     38.0,     42.9,     41.0,         ,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2007     ,     44.2,     43.9,     42.7,     33.6,     30.5,     19.2,     25.1,     30.2,     34.7,     36.2,     40.0,         ,         ,QC,#
dx, 48245,Highest monthly temperature in degrees C                                                                                                                                                                ,2008     ,     42.0,         ,     38.9,     32.8,     27.3,     24.5,     25.1,     30.6,     35.6,     39.1,     40.5,         ,         ,QC,#
