Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1948     ,         ,         ,         ,         ,         ,         ,     32.8,     33.3,     37.2,     43.3,     41.3,     40.7,         ,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1949     ,     44.7,     37.0,     41.4,     37.4,     35.0,     29.8,     29.6,     33.3,     35.6,     39.6,     41.0,     44.1,     44.7,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1950     ,     45.2,     42.0,     40.9,     37.6,     34.8,     27.3,     28.8,     34.3,     36.7,     35.4,     42.7,     44.7,     45.2,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1951     ,     36.7,     40.2,     41.6,     41.9,     34.1,     31.7,     33.1,     33.9,     37.6,     38.4,     45.6,     42.1,     45.6,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1952     ,     43.1,     43.9,     42.2,     40.7,     34.9,     31.4,     30.1,     31.0,     37.2,     38.7,     41.6,     41.5,     43.9,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1953     ,     43.5,     40.9,     44.5,     41.8,     35.6,     30.7,     31.3,     31.8,     35.2,     43.1,     43.8,     43.9,     44.5,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1954     ,     45.0,     44.4,     43.1,     39.2,     35.2,     30.4,     32.9,     35.4,     36.2,     39.7,     42.2,     47.9,     47.9,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1955     ,     41.7,     43.6,     42.3,     40.6,     34.7,     29.3,     29.1,     34.1,     38.1,     38.1,     42.1,     41.3,     43.6,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1956     ,     43.2,     42.1,     41.3,     40.2,     29.9,     30.8,     28.7,     32.1,     37.6,     40.7,     44.0,     38.7,     44.0,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     41.7,     40.8,     41.8,     39.6,     37.2,     31.7,     29.0,     33.6,     38.0,     42.1,     43.8,     41.6,     43.8,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     42.6,     44.2,     41.8,     40.8,     36.7,     33.2,     28.1,     33.7,     34.3,     41.8,     43.9,     42.0,     44.2,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     42.8,     44.6,     42.7,     42.3,     35.9,     32.2,     31.6,     34.8,     36.6,     41.1,     43.8,     44.9,     44.9,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     42.5,     41.2,     40.8,     40.2,     31.9,     31.4,     30.5,     33.6,     35.7,     43.6,     42.8,     45.6,     45.6,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     43.9,     42.5,     41.2,     39.2,     35.1,     34.4,     30.7,     32.2,     38.5,     42.7,     42.9,     46.8,     46.8,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     41.2,     42.9,     42.8,     38.2,     36.0,     31.7,     29.4,     36.8,     37.0,     38.7,     42.1,     44.0,     44.0,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     43.7,     41.1,     42.1,     37.6,     34.6,     30.2,     32.2,     32.3,     38.4,     40.2,     42.9,     42.9,     43.7,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     45.9,     42.7,     43.4,     42.1,     35.5,     34.0,     32.9,     34.2,     38.2,     40.8,     44.7,     44.8,     45.9,QC,#
dx,  4032,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     42.9,     43.4,     41.1,     40.4,     36.6,     31.6,     31.2,     33.5,     38.0,     38.9,     43.6,     45.9,     45.9,QC,#
