Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     33.3,     32.8,     29.4,     29.4,     26.1,     24.4,     25.0,     29.4,     30.0,     35.7,     32.8,     33.3,     35.7,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     34.4,     32.2,     32.8,     30.6,     29.4,     25.6,     27.8,     28.9,     32.2,     33.3,     34.4,     33.9,     34.4,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     33.9,     32.8,     32.2,     25.6,     27.2,     22.8,     26.7,     27.8,     31.7,     33.3,     34.4,     33.3,     34.4,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     31.1,     32.8,     30.0,     27.8,     30.0,     25.0,     28.3,     25.6,     32.8,     32.2,     34.4,     35.0,     35.0,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     32.2,     32.8,     30.0,     30.6,     24.4,     26.7,     28.3,     28.3,     31.1,     32.8,     32.2,     33.3,     33.3,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     32.8,     31.7,     31.7,     29.4,     30.6,     31.1,     24.4,     26.7,     31.1,     35.6,     35.0,     36.1,     36.1,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     33.3,     30.1,     30.6,     28.9,     27.8,     28.3,     25.6,     27.2,     31.1,     32.2,     33.3,     33.3,     33.3,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     31.7,     32.8,     29.4,     28.3,     25.3,     26.7,     27.3,     29.0,     30.1,     33.4,     31.4,     34.3,     34.3,QC,#
dx, 31029,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     31.7,     31.8,     28.4,     27.7,     26.2,     26.4,     25.3,     30.3,     29.6,     30.6,     36.7,     31.9,     36.7,QC,#
