Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1888     ,         ,     39.7,         ,         ,     33.9,     32.2,     28.6,     35.7,     38.4,     41.7,     45.2,     47.8,         ,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1889     ,     46.7,     46.4,     44.5,     40.0,     36.1,     32.2,     30.8,     35.2,     40.6,     42.2,     43.1,     46.1,     46.7,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1890     ,     39.4,     38.3,     39.6,     33.9,     32.2,     30.4,     27.5,     30.6,     37.1,     40.2,     39.9,     42.4,     42.4,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1891     ,     39.9,     39.3,     37.3,     31.6,     29.4,     27.9,     28.6,     28.7,     34.0,     40.0,     40.6,     45.0,     45.0,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1892     ,     44.4,     45.6,     40.7,     36.3,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1894     ,         ,         ,     38.5,     31.7,     28.3,     28.3,         ,         ,         ,         ,         ,     42.8,         ,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1895     ,         ,         ,         ,     39.5,     32.8,     29.3,     25.3,     31.2,     34.4,     39.7,         ,     42.9,         ,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1896     ,         ,     40.0,     41.3,         ,     33.0,     27.5,     29.3,     32.1,     35.8,     41.7,     40.9,     44.5,         ,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1897     ,     43.3,     41.6,     40.1,     38.9,     33.8,     29.8,     32.3,     36.3,     40.8,     43.5,     43.3,     41.9,     43.5,QC,#
dx, 38003,Highest monthly temperature in degrees C                                                                                                                                                                ,1898     ,     44.5,     38.4,     39.1,     36.6,     30.8,     32.4,     32.3,     33.9,     36.9,     43.3,     44.3,     45.9,     45.9,QC,#
