Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1908     ,     46.6,     43.0,     36.3,     32.2,     26.1,     19.8,     19.4,     23.3,     27.8,     41.9,     43.6,     45.6,     46.6,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1909     ,     45.0,     40.8,     36.1,     32.8,     23.9,     19.4,     17.2,     24.4,     26.1,     36.1,     41.1,     44.2,     45.0,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1910     ,     44.7,     40.6,     40.0,     32.2,     24.4,     19.4,     16.1,     26.7,     29.4,     33.3,     36.1,     42.2,     44.7,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1911     ,     37.8,     33.9,     37.1,     31.1,     30.8,     19.7,     19.2,     22.5,     30.7,     35.0,     37.5,     35.0,     37.8,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1912     ,     41.7,     40.3,     35.8,     36.1,     23.9,     19.4,     19.2,     22.9,     30.0,     34.2,     37.8,     39.4,     41.7,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1913     ,     39.4,     38.6,     34.4,     30.6,     24.2,     17.8,     17.8,     25.6,     28.6,     35.0,     37.9,     43.6,     43.6,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1914     ,     41.1,     41.8,     35.0,     33.7,     24.7,     20.6,     18.6,     25.6,     27.5,     36.4,     37.8,     41.9,     41.9,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1915     ,     41.4,     41.7,     37.8,     31.1,     25.6,     22.8,     17.8,     23.9,     27.8,     36.7,     36.1,     36.7,     41.7,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1916     ,     41.7,     38.9,         ,     35.0,     27.2,     20.6,     17.2,     22.8,     30.0,     28.9,     32.8,     38.3,         ,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1917     ,     42.2,     37.8,     36.7,     29.4,     23.3,     23.9,     20.0,     21.7,     30.6,     34.4,     32.8,     40.6,     42.2,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1918     ,     36.7,     40.0,     37.8,     34.4,     28.3,     19.4,     17.2,     23.3,     32.8,     33.3,     38.9,     41.7,     41.7,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1919     ,     40.0,     42.2,     33.3,     33.9,         ,     18.9,     19.4,         ,         ,     38.9,     41.7,     41.1,         ,QC,#
dx, 49032,Highest monthly temperature in degrees C                                                                                                                                                                ,1920     ,     41.1,     42.2,     36.1,         ,         ,         ,         ,         ,         ,         ,     38.3,     41.1,         ,QC,#
