Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,         ,         ,         ,     23.3,     21.2,     16.3,     15.7,     19.2,     27.8,     27.8,     27.8,     33.3,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     35.0,     31.1,     33.3,     23.9,     19.4,     14.4,     12.8,     16.7,     21.1,     22.8,     33.3,     30.0,     35.0,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     35.1,     33.6,     28.8,     26.6,     23.8,     17.7,     15.5,     15.6,     22.2,     28.9,     32.2,     33.7,     35.1,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     39.4,     39.4,     32.8,     28.3,     18.0,     15.0,     13.5,     16.8,     18.7,     26.0,     26.7,     30.6,     39.4,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     33.5,     34.0,     29.6,         ,         ,     15.6,     15.6,     21.0,     19.1,     25.0,     26.7,     31.1,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     30.0,     35.6,     28.9,     23.9,     20.0,     16.1,     13.9,     16.1,     17.8,     25.6,         ,     31.7,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     36.1,     31.1,     28.9,     26.7,     18.9,     14.4,     15.0,     16.1,     20.0,     23.9,         ,         ,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,         ,     30.6,     29.4,     26.7,     23.4,     16.0,     14.7,     18.2,     22.2,     25.4,     29.2,     37.0,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     38.6,     33.5,     29.7,     26.5,     20.0,     16.4,     15.7,     20.5,     22.2,         ,     29.2,     32.0,         ,QC,#
dx, 72043,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,         ,     30.0,     31.4,         ,     21.0,         ,     13.2,         ,     18.8,     23.3,         ,         ,         ,QC,#
