Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,         ,         ,         ,         ,     29.3,     26.7,     23.6,     27.6,     27.6,     31.5,     34.2,     34.7,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     32.6,         ,     32.6,     33.4,     24.8,     21.6,     27.1,     25.6,     29.3,     32.6,     34.2,     35.2,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     36.1,     33.8,     31.5,     28.4,     26.6,     23.4,     22.0,     24.1,     30.7,     28.6,     36.8,     34.7,     36.8,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     34.0,     30.3,     32.0,     28.0,     24.9,     22.6,     21.0,     22.5,     23.7,     28.8,     32.6,     37.0,     37.0,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     36.2,     35.0,     31.0,     30.7,     27.0,     24.1,         ,     26.6,     32.8,     34.3,     36.6,     38.3,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     37.7,     37.1,     32.5,     29.2,     25.7,     19.7,     23.5,     21.6,     23.7,     29.8,     33.3,     33.4,     37.7,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     38.4,     36.0,     32.0,     32.4,     27.6,     22.5,     21.1,     25.6,     28.0,     33.6,     33.3,     39.1,     39.1,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     40.5,     36.0,     35.6,     33.1,     28.4,     24.2,     23.9,     25.8,     33.1,     32.5,     34.8,     33.2,     40.5,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     36.2,     31.8,     34.6,     28.0,     26.3,     22.8,     24.4,     24.5,     33.5,     30.8,     33.6,     39.0,     39.0,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     37.2,         ,     30.9,     28.8,     25.3,     21.6,     20.6,     25.0,     32.0,     32.3,     39.4,     36.0,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     35.4,         ,     34.0,         ,     25.0,     21.5,     21.2,     20.7,     30.4,     30.8,     32.6,     33.8,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     33.7,     33.4,     33.1,     29.3,     25.0,         ,     22.3,     25.8,     25.8,     34.5,     34.1,     37.4,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     35.7,         ,     36.5,     30.7,     27.3,     22.6,     23.7,     26.3,     29.4,     30.3,         ,     36.6,         ,QC,#
dx, 41359,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,     36.4,         ,     34.1,     32.0,     26.3,     23.0,     24.2,     23.1,     31.3,     31.9,     34.7,     38.2,         ,QC,#
