Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,         ,         ,         ,         ,     36.7,     33.3,     34.7,     36.6,     38.7,     40.7,     41.8,     41.0,         ,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     44.2,     38.1,     38.4,     38.9,     36.2,     34.7,     35.4,     37.3,     37.9,     41.0,     42.8,     45.0,     45.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     42.5,     42.5,     41.2,     39.3,     37.8,         ,     33.7,     39.1,     40.6,     41.7,     42.2,     41.6,         ,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     42.0,     40.6,     40.6,     36.9,     37.1,     36.0,     34.4,     37.4,     40.6,     43.1,     42.8,     42.3,     43.1,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     43.4,     42.8,     39.0,     38.9,     36.6,     34.5,     33.3,     36.7,     39.6,     42.1,     42.4,     43.3,     43.4,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     41.0,     41.8,     39.6,     39.0,     38.8,     36.0,     35.2,     38.0,     40.6,     40.5,     43.8,     42.6,     43.8,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     36.1,     39.7,     36.7,     36.5,     35.8,     34.4,     34.7,     37.0,     39.2,     41.5,     41.5,     41.1,     41.5,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     42.1,     40.2,     38.7,     37.6,     35.5,     34.6,     35.4,     37.0,     38.5,     39.6,     44.3,     41.7,     44.3,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     40.7,     41.4,     38.1,     38.8,     34.2,     33.7,     33.4,     36.6,     39.9,     42.6,     43.7,     42.9,     43.7,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     41.8,     40.5,     38.0,     37.0,     35.3,     33.1,     33.8,     36.6,     37.7,     40.7,     42.7,     41.7,     42.7,QC,#
