Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     41.6,     38.9,     35.6,     30.1,     27.5,     25.0,     17.8,     22.8,     29.4,     38.9,     38.3,     44.4,     44.4,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     40.0,     40.0,     35.0,     34.4,     27.2,     21.1,     18.3,     21.4,     26.9,     35.6,     37.8,     35.0,     40.0,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     45.6,     40.0,     34.2,     31.9,     26.1,     22.5,     20.6,     25.7,     28.3,     30.8,     42.2,     38.9,     45.6,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,     42.8,     37.8,     37.8,     32.8,     21.7,     18.6,     22.8,     22.8,     27.8,     36.7,     35.0,     41.1,     42.8,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     42.8,     38.3,     36.7,     32.8,     25.0,     22.2,     18.3,     23.3,     35.0,     37.2,     37.2,     40.0,     42.8,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     40.6,     41.1,     35.0,     32.2,     23.9,     22.8,     21.1,     27.8,     29.4,     30.0,     43.3,     43.9,     43.9,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     40.0,     42.8,     36.7,     29.4,     24.4,     20.0,     17.2,     25.0,     28.3,     35.0,     37.8,     41.1,     42.8,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     44.4,     40.6,     38.9,     35.6,     25.0,     20.0,     18.9,     23.9,     25.6,     31.7,     39.4,     36.7,     44.4,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     42.2,     43.9,     41.1,     27.8,     26.7,     22.2,     20.0,     23.9,     32.2,     39.4,     39.4,     42.8,     43.9,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     41.1,     38.3,     40.0,     32.8,     25.0,     20.0,     18.3,     21.1,     28.9,     31.7,     41.1,     41.7,     41.7,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     41.1,     42.8,     35.0,     34.4,     28.9,     22.2,     19.0,     21.7,     29.8,     33.9,     38.9,     39.1,     42.8,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     46.6,     45.0,     38.3,     34.4,     22.2,     19.4,     18.3,     23.9,     27.2,     35.0,     40.6,     41.1,     46.6,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     44.4,     39.4,     34.4,     33.3,     25.0,     19.4,     19.4,     25.6,     24.4,     34.4,     35.6,     40.6,     44.4,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     40.6,     45.0,     36.7,     31.1,     23.3,     18.9,     20.0,     20.6,     27.2,     34.4,     35.0,     41.7,     45.0,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     43.3,     37.2,     35.0,     33.3,     22.8,     18.9,     17.2,     20.6,     27.8,     32.8,     34.4,     38.9,     43.3,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     40.0,     40.0,     36.7,     33.9,     27.8,     22.8,     18.9,     27.8,     30.0,     33.0,     35.0,     43.0,     43.0,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     43.5,     37.5,     37.0,     31.0,     26.5,     21.0,     19.0,     24.0,     30.5,     31.0,     36.5,     39.5,     43.5,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     36.0,     35.0,     38.5,     26.5,     26.0,     20.0,     18.5,     21.5,     26.5,     30.0,     35.0,     38.5,     38.5,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     37.5,     41.5,     35.5,     28.0,     28.0,     21.5,     27.0,     24.0,     31.0,     30.5,     41.0,     42.0,     42.0,QC,#
dx, 76047,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     41.0,     38.5,     35.0,     31.0,     25.0,     21.5,     21.5,     25.0,     27.5,     27.0,     35.6,     44.0,     44.0,QC,#
