Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     33.0,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,     33.7,     37.8,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1991     ,     38.6,     39.5,     37.8,     27.5,         ,         ,         ,         ,         ,         ,     33.5,     36.8,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1992     ,     38.9,     34.4,     32.1,     29.2,         ,         ,         ,         ,         ,         ,     25.5,     31.3,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1993     ,     36.6,     36.3,     29.5,         ,         ,         ,         ,         ,         ,         ,     33.3,     37.5,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1994     ,     35.9,     36.8,     26.7,     27.4,         ,         ,         ,         ,         ,         ,     35.8,     38.6,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1995     ,     35.8,     36.0,     34.5,     24.7,         ,         ,         ,         ,         ,         ,     28.0,     34.8,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1996     ,     37.0,     32.0,     30.5,     23.2,         ,         ,         ,         ,         ,         ,     28.8,     36.6,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1997     ,     37.0,     38.3,     33.0,     27.7,         ,         ,         ,         ,         ,         ,     39.2,     37.6,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1998     ,     39.2,     38.8,     37.4,     32.8,         ,         ,         ,         ,         ,         ,     28.0,     37.2,         ,QC,#
dx, 82137,Highest monthly temperature in degrees C                                                                                                                                                                ,1999     ,     40.2,     35.6,     33.8,     24.4,         ,         ,         ,         ,         ,         ,     30.2,     34.2,         ,QC,#
