Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1907     ,     42.3,     43.1,     39.2,     36.4,     31.9,     21.9,     22.2,     22.3,     29.2,     32.2,     35.8,     39.9,     43.1,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1908     ,     43.0,     40.6,     35.7,     33.1,     25.0,     22.7,     22.7,     21.8,     29.2,     33.5,     37.9,     45.0,     45.0,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1909     ,     41.6,     42.3,     39.0,     35.6,     29.3,     25.6,     21.1,     22.2,     27.4,     27.9,     35.4,     41.0,     42.3,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1910     ,     46.1,     41.7,     37.8,     37.3,     26.6,     22.8,         ,     24.2,     30.6,     28.2,     38.3,     38.2,         ,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1911     ,     40.5,     42.9,     37.7,     33.3,     24.6,     21.1,     20.4,     24.4,     27.7,     34.9,     38.6,     41.6,     42.9,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1912     ,     42.0,     43.9,     42.8,     32.3,     31.8,     23.4,     20.9,     25.3,     23.3,     32.6,     37.6,     41.9,     43.9,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1913     ,     43.3,     40.6,     37.8,     32.7,     28.9,     25.1,     20.6,     23.0,     31.4,     31.7,     43.2,     39.9,     43.3,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1914     ,     43.2,     42.7,     43.2,     32.5,     30.0,     27.2,     18.9,     27.2,     33.9,     38.9,     35.6,     40.6,     43.2,QC,#
dx, 10111,Highest monthly temperature in degrees C                                                                                                                                                                ,1915     ,     43.3,     45.1,     38.8,     35.0,     25.4,     21.0,     18.9,     23.6,     22.8,     32.3,     38.2,     44.4,     45.1,QC,#
