Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,         ,         ,         ,         ,         ,         ,         ,         ,     35.2,     37.7,     35.5,     34.8,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,         ,         ,     36.0,     35.1,     34.7,     33.5,     32.0,     33.0,     34.3,     34.5,     35.4,         ,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,         ,         ,         ,     33.5,     31.5,     28.8,     29.1,     30.5,     32.9,     33.6,     37.2,     37.7,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     34.9,     33.3,     33.5,     32.9,     32.1,     29.9,     30.7,     32.0,     33.0,     34.0,     35.5,     33.3,     35.5,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     34.8,     32.8,     33.5,     33.2,     30.5,     29.2,     29.3,     30.0,     31.6,     36.8,     35.8,     35.9,     36.8,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     34.3,     32.7,     33.0,     32.8,     31.8,     29.0,     28.0,     29.4,     31.0,     34.5,     37.5,     35.8,     37.5,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     36.4,     34.3,     36.0,         ,     32.2,     30.8,     29.2,     31.0,     31.2,     34.5,     34.2,     35.3,         ,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     35.6,     33.0,     34.0,     33.3,     32.3,     29.7,     28.6,     31.7,     31.8,     36.7,     35.8,     37.5,     37.5,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     34.5,     35.5,     34.4,     33.2,     32.2,     29.6,     29.1,     30.5,     34.0,     36.2,     36.8,     34.6,     36.8,QC,#
dx, 29039,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     34.0,     33.5,     34.0,     35.0,     32.0,     29.5,     30.5,     31.7,     31.2,     33.8,     36.5,     35.5,     36.5,QC,#
