Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     36.8,     40.5,     38.3,     29.1,     26.1,     19.6,     20.3,     26.6,     34.0,         ,     37.8,     41.7,         ,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     40.1,     36.9,     35.4,     29.4,     23.7,     18.4,     19.4,     19.4,     22.4,     27.7,     34.9,     36.5,     40.1,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     39.0,     36.7,     28.8,     27.7,     25.1,         ,     19.1,     19.9,     31.1,     35.5,     36.8,     35.5,         ,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     37.2,     37.9,     35.8,     30.8,     22.2,     16.9,     18.4,     20.6,     23.5,     34.4,     40.4,     35.9,     40.4,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     37.7,     38.8,     32.6,     28.6,     22.6,     17.7,     18.1,     23.6,     22.2,     28.0,     30.6,     36.7,     38.8,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     37.2,     36.6,     33.1,     27.9,     22.6,     18.2,     18.7,     23.4,     23.3,     29.5,     32.3,     35.4,     37.2,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     37.9,     30.1,     31.7,     29.2,     21.4,     18.1,     16.7,     21.0,     24.4,     31.1,     28.3,     34.4,     37.9,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     33.3,     30.6,     31.8,     29.3,     24.7,     19.6,     19.7,     24.7,     28.4,     29.8,     31.5,     40.0,     40.0,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     41.4,     37.5,     34.8,     27.5,     24.0,     21.7,     19.4,     23.2,     27.1,     27.7,     33.9,     33.0,     41.4,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     33.3,     34.0,     31.8,     28.8,     23.4,     18.8,     17.0,     17.9,     21.0,     27.2,     35.0,     36.0,     36.0,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     38.6,     36.3,     33.0,     26.8,     24.8,     22.6,     21.5,     18.4,     24.2,     25.9,     35.5,     37.6,     38.6,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     36.0,     32.5,     29.5,     28.9,     22.9,     22.5,     19.8,     24.4,     22.0,     24.0,     31.6,     37.1,     37.1,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     39.4,     38.7,     30.5,     29.7,     24.3,     18.7,     18.6,     24.8,     28.0,     33.3,     33.5,     39.0,     39.4,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     38.2,     36.1,     33.0,     28.0,     25.3,     16.7,     19.7,     18.1,     22.2,     27.6,     33.0,     33.2,     38.2,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     40.4,     38.6,     33.0,     29.4,     23.7,     19.7,     18.4,     22.0,     27.1,     28.6,     34.8,     38.4,     40.4,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     36.1,     37.5,     36.5,     30.7,     23.5,     19.5,     18.2,     23.7,     32.5,     34.0,     38.0,     37.5,     38.0,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     39.5,     37.7,     34.5,     29.4,     23.4,     17.0,     18.5,     18.0,     28.3,     31.7,     34.7,     40.3,     40.3,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     40.0,     37.0,     32.0,     26.2,     24.8,     17.4,     17.9,     26.1,     28.2,     34.5,     40.7,     38.2,     40.7,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,     38.2,     40.9,     36.7,     25.7,     21.3,     17.7,     17.6,     19.0,     26.4,     33.7,     33.2,     36.5,     40.9,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     32.8,     32.8,     33.4,     28.6,     24.2,     20.6,     16.8,     18.6,     21.5,     29.8,     35.5,     37.5,     37.5,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     38.8,     38.0,     35.2,     29.5,     25.8,     17.5,     19.5,     20.0,     23.5,         ,         ,         ,         ,QC,#
dx, 65035,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,         ,         ,         ,     34.0,     23.0,         ,     17.5,     21.0,         ,         ,         ,         ,         ,QC,#
