Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1927     ,     41.7,     39.4,     36.1,     30.0,     24.3,     18.3,     17.8,     21.7,     26.1,     35.6,     39.2,     38.6,     41.7,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1928     ,     41.1,     38.3,     37.8,     30.0,     23.9,     18.3,     20.0,     25.6,     32.2,     36.7,         ,     40.0,         ,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1929     ,     41.1,     38.3,     36.7,     30.6,     25.0,     22.8,     18.3,     19.4,     24.4,     30.6,     35.0,     38.9,     41.1,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1930     ,     40.6,     41.1,     37.8,     29.4,     23.9,     20.0,     17.8,     20.6,     28.9,     35.0,     34.4,     38.9,     41.1,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1931     ,     37.8,     38.3,     34.7,     31.1,     25.0,     15.8,     18.3,     19.2,     26.6,     33.3,     33.7,     42.3,     42.3,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1932     ,     43.9,     34.4,     39.6,     22.9,     24.8,     18.2,     17.6,     22.9,     23.5,     27.9,     37.4,     39.0,     43.9,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1933     ,     39.2,     41.6,     34.6,     32.1,     24.2,     21.7,     19.0,     20.0,     23.4,     37.2,     37.3,     37.7,     41.6,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1934     ,     43.7,     42.9,     42.4,     31.1,     24.9,     17.3,     22.6,     22.7,     28.8,     31.8,     35.1,     40.8,     43.7,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1935     ,     39.3,     38.5,     37.8,     30.7,     24.4,     18.4,     17.7,     24.0,     26.6,     31.1,     38.3,     38.4,     39.3,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1936     ,     39.9,     36.6,     34.7,     28.2,     26.1,     16.3,     17.6,     25.0,     29.6,     30.6,     39.1,     35.9,     39.9,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1937     ,     37.6,     36.2,     35.2,     30.9,     26.8,     15.9,     19.2,     21.1,     25.9,     32.8,     38.2,     39.3,     39.3,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1938     ,     38.7,     41.2,     37.9,     37.9,     26.2,     18.9,     18.7,     19.0,     25.1,     35.8,     38.4,     38.2,     41.2,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1939     ,     45.4,     42.7,     32.0,     31.0,     28.9,     18.7,     18.3,     21.6,     26.1,     31.8,     32.9,     41.2,     45.4,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1940     ,     39.6,     41.7,     42.4,     27.2,     20.9,     20.6,     20.6,     24.4,     29.1,     37.4,     36.1,     40.8,     42.4,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1941     ,     37.6,     40.4,     33.6,     33.1,     27.2,     21.3,     18.5,     21.7,     25.3,     29.1,     38.9,     42.3,     42.3,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1942     ,     42.9,     39.3,     42.1,     30.7,     25.2,     18.4,     19.9,     25.9,     27.7,     32.7,     35.3,     39.3,     42.9,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1943     ,     43.3,     43.9,     39.8,     31.1,     25.6,     19.1,     19.3,     16.2,     26.6,     30.7,     34.8,     41.3,     43.9,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1944     ,     40.7,     38.0,     36.6,     31.6,     25.1,     20.7,     18.9,     22.2,     32.4,     32.3,     37.8,     38.3,     40.7,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1945     ,     41.1,     37.2,     36.1,     29.9,     23.9,     22.7,     21.1,     24.0,     26.2,     31.6,     37.3,     40.0,     41.1,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1946     ,     41.2,     37.9,     34.4,     26.6,     28.4,     16.8,     20.4,     23.2,     23.8,     36.1,     35.6,     40.0,     41.2,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1947     ,     41.3,     39.4,     38.4,     31.6,     27.7,     21.7,     18.2,     23.8,     26.6,     31.1,     36.8,     37.2,     41.3,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1948     ,     43.2,     41.1,     34.6,     32.2,     27.4,     18.4,     21.6,     21.2,     31.3,     34.4,     34.1,     36.8,     43.2,QC,#
dx, 23307,Highest monthly temperature in degrees C                                                                                                                                                                ,1949     ,     38.9,     30.6,     38.4,     29.1,     22.9,     20.1,     21.0,     24.9,     28.9,     29.9,     33.4,     40.1,     40.1,QC,#
