Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 88001,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     39.2,     38.6,     37.8,     24.2,     22.5,     16.1,     15.8,     20.3,     30.0,     33.3,     31.1,     36.1,     39.2,QC,#
dx, 88001,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     37.2,     32.8,     36.7,     27.2,     22.8,     16.1,     15.6,     20.6,     25.6,     26.7,     35.3,     34.7,     37.2,QC,#
dx, 88001,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     35.6,     38.9,     30.6,     28.9,     24.7,     18.9,     14.4,     16.9,     22.2,     28.9,     35.6,     34.7,     38.9,QC,#
dx, 88001,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     42.8,     41.7,     35.8,     31.4,     17.8,     15.0,     13.9,     19.4,     21.1,     27.3,     28.8,     35.4,     42.8,QC,#
dx, 88001,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     37.7,     36.1,     32.1,     29.0,     21.6,     17.0,     16.7,     22.3,     19.4,     27.2,     30.8,         ,         ,QC,#
dx, 88001,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     33.9,     37.7,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 88001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1965     ,      2.8,      4.4,      1.7,     -1.1,     -0.3,     -4.4,     -5.0,     -3.3,     -1.1,     -1.1,      3.1,      3.9,     -5.0,QC,#
dx, 88001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1966     ,      6.1,      5.6,      3.3,     -1.7,     -3.3,     -3.3,     -3.3,     -2.2,     -0.6,      0.0,      0.6,      2.8,     -3.3,QC,#
dx, 88001,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1967     ,      4.4,      4.7,      2.2,     -1.7,     -3.6,     -1.1,     -2.5,     -2.8,     -1.7,     -1.4,      1.1,      1.1,     -3.6,QC,#
