Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1957     ,     41.7,     39.6,     35.4,     35.1,     31.1,     26.1,     25.0,     28.8,     34.9,     39.4,     40.6,     42.3,     42.3,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1958     ,     43.8,     41.7,     40.7,     33.4,     32.7,     29.1,     30.1,     31.0,     33.3,     40.6,     41.1,     39.0,     43.8,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1959     ,     38.5,     40.2,     37.7,     31.7,     27.8,     26.7,     26.1,     30.1,     35.7,     38.8,     40.4,     39.1,     40.4,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1960     ,         ,     43.9,     37.8,     36.2,     28.2,     26.7,     27.7,     29.3,     32.8,     37.8,     39.4,     38.4,         ,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1961     ,     38.9,     40.6,     36.3,     36.1,     28.3,     27.2,     26.8,     31.3,     34.0,     39.4,     39.3,     43.3,     43.3,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1962     ,     41.1,     40.0,     40.0,     31.8,     30.1,     32.8,     27.6,     31.7,     32.8,     39.8,     43.4,     39.9,     43.4,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1963     ,     38.9,     39.8,     38.0,     30.8,     30.1,     28.3,     27.8,     30.8,     34.7,     34.4,     40.4,     41.7,     41.7,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1964     ,     41.2,     41.1,     37.4,     35.1,     35.0,     27.8,     29.9,     32.2,     37.7,     34.3,     38.4,     42.1,     42.1,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     40.7,     42.8,     38.4,     35.1,     29.8,     27.5,     26.6,     32.2,     35.4,     40.0,     44.0,     39.5,     44.0,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     40.6,     39.4,     38.8,     37.3,     31.1,     26.1,     28.0,     27.1,     32.8,     35.3,     38.2,     41.7,     41.7,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     44.4,     40.0,     36.2,     35.6,     32.2,     26.8,     25.7,     31.2,     33.9,     39.0,     40.4,     41.7,     44.4,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     40.6,     39.9,     38.3,     37.1,     28.4,     25.7,     25.4,     31.7,     32.2,     39.1,     42.7,     42.2,     42.7,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     42.9,     41.0,     38.3,     33.2,     30.7,     26.7,     26.3,     31.0,     33.3,     34.8,     40.9,     40.7,     42.9,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     40.8,     40.1,     37.8,     34.9,     30.6,     28.2,     27.2,     35.1,     33.6,     37.8,     38.9,     42.2,     42.2,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     40.9,     37.9,     35.6,     31.3,     28.8,     26.7,     27.2,     30.1,     36.6,     40.6,     41.0,     40.1,     41.0,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     38.7,     38.5,     37.8,     35.0,     28.8,     27.8,     26.6,     31.1,     34.0,     39.7,     41.8,     44.6,     44.6,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     44.4,     37.5,     39.9,     35.4,     31.2,     27.5,     28.2,     32.7,     32.8,     37.5,     38.2,     39.4,     44.4,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     36.3,     35.6,     37.3,     35.0,     28.3,     27.3,     29.5,     30.0,     33.7,     38.4,     39.5,     40.3,     40.3,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     40.0,     36.9,     38.9,     33.2,     31.5,     27.3,     28.2,     31.9,     36.4,     38.8,     41.1,     39.0,     41.1,QC,#
dx, 36143,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     38.4,     36.0,     37.5,     33.1,     28.9,     27.4,     27.3,     27.7,     30.5,     37.3,     41.1,     41.8,     41.8,QC,#
