Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     35.6,     37.2,     39.4,     30.6,     25.6,     22.8,     18.9,     21.7,     34.4,     34.4,     37.2,     37.9,     39.4,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     40.6,     36.9,     37.7,     32.8,         ,     22.2,     21.2,     20.4,     23.0,     28.8,     37.7,     33.8,         ,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     39.4,     33.0,     31.6,     30.1,     26.8,     19.8,     20.8,     21.3,     29.6,     32.8,     37.1,     37.9,     39.4,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     39.0,     42.8,     34.2,     33.1,     25.6,     21.1,     20.0,     23.9,     28.6,     35.6,     38.9,     36.1,     42.8,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     38.9,     39.4,     32.8,     32.8,     24.4,     22.2,     22.2,     25.8,     26.1,     32.2,     32.2,     37.2,     39.4,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     36.7,     37.8,     33.3,     29.7,     23.9,     20.8,     22.8,     25.0,     25.8,     34.4,     32.2,     35.6,     37.8,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     38.9,     31.7,     35.0,     30.9,     24.4,     21.1,     19.7,     23.4,     27.1,     33.2,     31.6,     35.0,     38.9,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     32.7,     32.2,     31.8,     26.4,     27.2,     21.6,     21.0,     26.9,     29.0,     29.5,     31.4,     38.5,     38.5,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     38.9,     38.9,     34.0,     29.8,     26.2,     22.2,     22.0,     22.4,     32.0,     31.7,     35.5,     34.8,     38.9,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     34.8,     33.4,     31.8,     26.8,     25.5,     21.6,     21.8,     19.4,     25.0,     27.6,     36.3,     37.2,     37.2,QC,#
dx, 68052,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     40.0,     38.3,     29.9,     29.0,     26.0,     23.8,     25.3,     23.0,     28.0,     29.0,     35.6,     39.6,     40.0,QC,#
