Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     40.6,     37.8,     37.8,     33.3,     28.9,     25.6,     25.6,     27.8,     35.0,     38.3,     39.4,     42.8,     42.8,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     38.3,     40.6,     36.1,     34.4,     27.2,     26.1,     24.4,     23.9,     31.1,     32.2,     35.6,     37.2,     40.6,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     40.6,     34.4,     31.7,     30.6,     25.6,     25.0,     23.9,     25.0,     31.1,     37.8,     39.4,     38.9,     40.6,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     38.3,     36.7,     33.9,     37.2,     29.4,     25.1,     25.0,     29.4,     30.0,     38.3,         ,     35.8,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     38.3,     38.6,     36.1,     33.3,     27.8,     24.4,     25.6,     28.9,     27.8,     33.3,     36.1,     37.8,     38.6,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,         ,         ,         ,         ,         ,         ,         ,         ,     32.2,     36.1,     35.0,     36.1,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     36.7,     34.4,     31.1,     31.1,     28.9,     27.2,     24.4,     26.7,     34.1,     36.1,     36.1,     36.1,     36.7,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     36.1,     32.2,     36.9,     31.7,     25.6,     25.0,     24.6,     30.6,     32.7,     36.5,     35.0,     41.5,     41.5,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     36.5,     35.8,     37.4,     37.0,     31.8,     28.2,     28.4,     29.6,     31.0,     34.5,     35.0,     40.0,     40.0,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     34.7,     33.8,     32.1,         ,     27.0,         ,     28.6,     26.8,     34.0,     35.2,         ,         ,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     39.6,     36.2,         ,     30.4,     28.8,     26.8,     26.4,     28.6,     32.0,     34.7,     37.0,         ,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,         ,     32.4,     34.0,         ,     27.4,         ,         ,     26.2,     29.0,         ,     37.7,         ,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,         ,         ,     35.7,         ,     27.4,     27.5,         ,     30.1,     35.8,     37.6,     40.8,         ,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     38.5,     38.0,     34.0,         ,     27.0,         ,     28.5,     26.2,         ,     34.6,         ,         ,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     42.6,         ,     34.1,         ,     29.8,         ,     27.6,         ,         ,     35.0,     36.5,         ,         ,QC,#
dx, 58063,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     41.5,         ,     39.2,         ,         ,     26.9,     25.5,         ,     34.1,     37.8,     40.9,         ,         ,QC,#
