Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1965     ,     39.6,     37.8,     36.8,     22.3,     20.8,     15.1,     14.9,     19.3,     27.0,     33.2,     33.6,     36.1,     39.6,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1966     ,     37.3,     33.3,     36.2,     28.3,     19.9,     14.4,     14.9,     16.7,     22.3,     24.1,     36.1,     34.9,     37.3,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1967     ,     36.0,     39.2,     30.6,     31.3,     24.9,     19.0,     15.2,     18.9,     22.9,     29.4,     35.2,     35.1,     39.2,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1968     ,     43.3,     40.9,     34.6,     31.8,     17.3,     14.9,     15.0,     18.6,     21.6,     27.8,     30.4,     34.5,     43.3,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1969     ,     38.3,     35.5,     31.8,     29.1,     20.1,     15.1,     15.6,     20.6,     20.6,     28.2,     31.2,     36.6,     38.3,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1970     ,     34.1,     37.1,     32.2,     25.7,     18.1,     17.7,     14.1,     15.6,     17.3,     27.1,     31.2,     35.6,     37.1,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1971     ,     37.7,     33.8,     31.3,     27.8,     19.6,     14.9,     14.6,     17.9,     19.6,     26.2,     27.6,     32.6,     37.7,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1972     ,     35.0,     36.0,     30.7,     26.8,     24.7,     16.4,     14.1,     18.9,     25.2,     27.0,     30.5,     38.0,     38.0,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1973     ,     38.3,     34.5,     29.0,     27.5,     19.5,     16.0,     16.4,     18.0,     23.0,     25.0,     28.0,     35.0,     38.3,QC,#
dx, 88015,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,     34.0,     33.2,         ,         ,     21.3,         ,     14.4,     16.2,     20.6,     23.2,         ,         ,         ,QC,#
