Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1908     ,     43.9,     43.7,     35.8,     34.4,     31.6,     22.9,     21.8,     27.0,     29.2,     38.6,     40.8,     44.4,     44.4,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1909     ,     46.7,     40.6,     37.8,     36.1,     26.7,     22.2,     20.6,     27.2,     35.0,     34.4,     38.9,     42.8,     46.7,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1910     ,     42.2,     41.7,     39.7,     33.3,     31.7,     20.0,     19.2,     26.7,     33.3,     36.4,     38.1,     42.8,     42.8,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1911     ,     42.2,     38.3,     40.0,     32.2,     33.1,     23.3,     22.2,     31.7,     32.5,     38.9,     42.2,     42.8,     42.8,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1912     ,     43.6,     42.8,     40.6,     33.6,     28.6,     20.3,     20.6,     28.9,     35.3,     40.0,     38.9,     44.4,     44.4,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1913     ,     44.4,     42.2,     38.1,     33.3,     24.4,     19.4,     22.8,     28.6,     34.4,     38.3,     44.2,     45.0,     45.0,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1914     ,     45.6,     43.8,     38.6,     36.1,     28.2,     24.4,     23.6,     28.3,     31.1,     38.8,     41.9,     44.4,     45.6,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1915     ,     43.3,     45.0,     40.0,     33.9,     28.9,     30.0,     24.4,     23.9,     31.7,     38.9,     41.7,     42.2,     45.0,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1916     ,     43.3,     41.7,     39.4,     29.4,     29.4,     25.0,     20.6,     27.8,     31.7,     31.7,     33.9,     42.2,     43.3,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1917     ,     42.8,     38.9,     37.2,     31.7,     26.7,     26.1,     23.9,     26.7,     32.8,     40.0,     40.0,     45.0,     45.0,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1918     ,     40.6,     42.8,     38.3,     36.1,     29.4,     25.6,     23.3,     25.0,     35.0,     40.6,     40.6,     45.0,     45.0,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1919     ,     43.9,     42.2,     39.4,     37.8,     29.4,     26.1,     23.9,     26.7,     37.8,     43.1,     42.2,     45.6,     45.6,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1920     ,     40.0,     41.9,     40.0,     35.0,     25.6,     22.8,     20.0,     22.8,     30.0,     38.3,     40.0,     41.7,     41.9,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1921     ,     45.6,     42.2,     36.1,     32.2,     31.1,     21.7,     25.0,     22.8,     33.9,     36.7,     42.8,     38.9,     45.6,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1922     ,     42.2,     45.0,     40.6,     36.7,     28.9,     23.3,     21.1,     25.6,     33.3,     39.4,     42.8,     40.0,     45.0,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1923     ,     44.4,     43.9,     37.8,     33.9,     29.4,     27.8,     21.7,     25.6,     31.1,     37.2,     40.0,     41.7,     44.4,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1924     ,     44.4,     42.8,     38.9,     30.6,     28.3,     21.7,     24.4,     30.0,     32.2,     39.4,     40.6,     41.7,     44.4,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1925     ,     41.1,     45.6,     43.3,     35.6,     28.3,     22.2,     23.3,     26.7,     29.4,     39.8,     39.2,     45.0,     45.6,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1926     ,     45.6,     44.4,     42.2,     32.9,     23.3,     23.3,     30.0,     26.1,     31.1,     38.9,     38.9,     41.7,     45.6,QC,#
dx, 17024,Highest monthly temperature in degrees C                                                                                                                                                                ,1927     ,     43.6,     42.2,     43.3,     33.6,     26.7,     21.7,     25.1,     28.3,     34.4,     40.0,     41.4,     39.5,     43.6,QC,#
