Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1974     ,         ,         ,         ,         ,         ,         ,     32.8,     30.3,     37.5,     40.2,     41.6,     42.3,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1975     ,     46.2,     44.5,     42.0,     37.0,     35.0,     31.5,     32.5,     35.0,     37.5,         ,     43.5,     46.2,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1976     ,     44.2,     45.0,     39.0,     40.0,     32.5,     29.5,     30.7,     32.9,     35.5,     40.2,     41.7,     44.6,     45.0,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1977     ,     46.0,     46.0,     42.2,     38.1,     34.0,     28.2,     30.5,     35.4,     36.8,     41.4,     43.7,         ,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1978     ,     45.0,     43.1,     41.7,     37.0,     34.3,     29.7,     28.8,     30.0,         ,     39.0,     41.4,         ,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1979     ,     45.6,     44.0,     41.8,     40.5,     32.9,     31.0,     30.0,     33.3,     38.8,     39.2,     45.0,         ,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1980     ,     43.6,     45.0,     44.5,         ,     35.0,     32.4,     31.0,     34.9,     38.6,     41.3,     41.6,         ,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1981     ,     47.4,     39.5,     39.2,         ,         ,     28.6,     28.2,     33.2,     38.6,     40.8,     41.6,     44.7,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1982     ,     44.3,     43.1,     38.7,     36.0,         ,     31.2,     31.4,     34.0,     36.0,     40.4,     43.0,     44.0,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1983     ,         ,     43.2,     41.2,     38.6,     33.6,     30.4,     30.0,     33.6,     39.2,     40.6,     46.0,     43.6,         ,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1984     ,     42.7,     43.6,     38.8,     38.3,     33.7,     29.4,     30.1,     31.7,     35.2,     43.2,     43.6,     42.0,     43.6,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1985     ,     46.2,     45.4,     45.1,     40.4,     34.2,     27.6,     31.5,     34.0,     39.2,     39.9,     45.6,     45.0,     46.2,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1986     ,     43.6,     44.7,     43.2,     41.0,     35.1,     30.0,     26.0,     33.6,     35.4,     40.6,     43.1,     46.7,     46.7,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1987     ,     43.4,     41.5,     40.3,     41.2,     33.2,     32.4,     30.7,     33.8,     37.7,     41.6,     43.3,     44.2,     44.2,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1988     ,     46.2,     45.1,     44.6,     37.1,     34.2,     31.2,     30.5,     31.7,     37.8,     43.3,     43.4,     42.6,     46.2,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1989     ,     44.1,     44.6,     44.2,     38.0,     32.9,     27.5,     31.0,     32.0,     38.7,     42.0,     43.0,     45.0,     45.0,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1990     ,     46.0,     43.0,     44.0,     41.0,     38.0,     31.0,     30.0,     36.0,     38.0,     41.0,     46.0,     47.5,     47.5,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1991     ,     46.0,     46.5,     44.0,     39.0,     35.0,     31.4,     30.5,     32.5,     39.0,     42.5,     43.5,     44.0,     46.5,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1992     ,     46.0,     45.8,     43.0,     39.5,     35.5,     32.5,     31.0,     32.5,     37.2,     40.0,     45.0,     46.0,     46.0,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1993     ,     46.6,     42.5,     41.5,     41.0,     32.5,     30.0,     29.5,     32.0,     35.0,     41.5,     43.0,     45.0,     46.6,QC,#
dx, 13030,Highest monthly temperature in degrees C                                                                                                                                                                ,1994     ,     44.5,     44.0,     40.0,     38.0,     34.0,     32.5,     30.5,     33.0,     38.5,     42.0,     44.0,     44.5,     44.5,QC,#
